***** DESCRIPTION ***********;
[enter the description here];

***** INSTRUMENT INFO *******;
IDENTIFICATION;
PHIboard number   : v1215488;
PM number         : 20101830;
Serial number     : FB3-AOT-03-761      ;
MUX channel       : OFF - 00;
;
PARAMETERS;
Signal LED current: 050;
Ref LED current   : 080;
Ref LED amplitude : 66291;
Frequency         : 006;
Sending interval  : 0001;
Averaging         : 2;
Internal temp     : 25.7 C;
;
SYSTEM SETTINGS;
APL function      : ON;
Temp compensation : ON - ch a;
Analog out        : chA t chB t;
RS232 echo        : ON;
Oxygen unit       : %a.s.;
;
CALIBRATION;
Sensor type       : 2;
0%a.s.phase 1     : 59.69 at 028.3°C amp 060400;
100.00%a.s.phase 2: 26.80 at 028.1°C amp 025200;
Date   (ddmmyy)   : 230618;
Pressure (mBar)   : 1018;
;
FIRMWARE;
Code 3.016 (IAP)  : 08/20/04, 09:50:56;
Xilinx built      : 01/05/04 (MM/DD/YY);
Reset condition   : SLEEP;
 ;
 ;
 ;
 ;
 ;
 ;
 ;
 ;

***** SOFTWARE INFO *********;
OxyView - PST3-V6.02 10/2007;
© by PreSens GmbH;
23/06/18;
6:39:11 PM;

******MEASURE MODE SETTINGS**;
Dynamic Averaging;   4;
measure mode;  1 sec ;

start time; 6:39:11 PM; 
date(DD/MM/YY); time/hh:mm:ss; logtime/min; oxygen/umol/L; phase/°; amp; temp/°C; ErrorMessage;
23/06/18;   18:39:11;       0.000; 266.886;   25.84;    1879;   28.30; E0;
23/06/18;   18:39:12;       0.017; 269.377;   25.75;    1887;   28.30; E0;
23/06/18;   18:39:13;       0.034; 270.700;   25.70;    1886;   28.30; E0;
23/06/18;   18:39:14;       0.051; 273.235;   25.60;    1880;   28.30; E0;
23/06/18;   18:39:15;       0.068; 277.025;   25.46;    1887;   28.30; E0;
23/06/18;   18:39:16;       0.085; 277.162;   25.45;    1880;   28.30; E0;
23/06/18;   18:39:17;       0.102; 278.601;   25.40;    1880;   28.30; E0;
23/06/18;   18:39:18;       0.118; 277.367;   25.45;    1873;   28.30; E0;
23/06/18;   18:39:19;       0.135; 277.162;   25.46;    1887;   28.30; E0;
23/06/18;   18:39:20;       0.152; 276.616;   25.47;    1893;   28.30; E0;
23/06/18;   18:39:21;       0.169; 277.778;   25.43;    1881;   28.30; E0;
23/06/18;   18:39:22;       0.186; 279.014;   25.39;    1887;   28.30; E0;
23/06/18;   18:39:23;       0.203; 279.014;   25.39;    1894;   28.30; E0;
23/06/18;   18:39:24;       0.220; 277.778;   25.43;    1886;   28.30; E0;
23/06/18;   18:39:25;       0.237; 278.808;   25.40;    1888;   28.30; E0;
23/06/18;   18:39:26;       0.254; 279.981;   25.35;    1881;   28.30; E0;
23/06/18;   18:39:27;       0.271; 278.739;   25.40;    1887;   28.30; E0;
23/06/18;   18:39:28;       0.288; 281.439;   25.30;    1894;   28.30; E0;
23/06/18;   18:39:29;       0.305; 281.508;   25.30;    1882;   28.30; E0;
23/06/18;   18:39:30;       0.322; 281.439;   25.30;    1887;   28.30; E0;
23/06/18;   18:39:31;       0.339; 280.189;   25.35;    1886;   28.30; E0;
23/06/18;   18:39:32;       0.355; 278.945;   25.39;    1880;   28.30; E0;
23/06/18;   18:39:33;       0.372; 276.480;   25.48;    1880;   28.30; E0;
23/06/18;   18:39:34;       0.389; 276.548;   25.48;    1887;   28.30; E0;
23/06/18;   18:39:35;       0.406; 277.846;   25.43;    1887;   28.30; E0;
23/06/18;   18:39:36;       0.423; 280.189;   25.34;    1888;   28.30; E0;
23/06/18;   18:39:37;       0.440; 282.416;   25.27;    1888;   28.30; E0;
23/06/18;   18:39:38;       0.457; 281.299;   25.30;    1880;   28.30; E0;
23/06/18;   18:39:39;       0.474; 278.877;   25.39;    1873;   28.30; E0;
23/06/18;   18:39:40;       0.491; 276.548;   25.48;    1887;   28.30; E0;
23/06/18;   18:39:41;       0.508; 275.596;   25.51;    1881;   28.30; E0;
23/06/18;   18:39:42;       0.525; 273.907;   25.57;    1886;   28.30; E0;
23/06/18;   18:39:43;       0.542; 276.276;   25.49;    1880;   28.30; E0;
23/06/18;   18:39:44;       0.559; 275.122;   25.53;    1886;   28.30; E0;
23/06/18;   18:39:45;       0.576; 275.190;   25.53;    1881;   28.30; E0;
23/06/18;   18:39:46;       0.593; 279.083;   25.38;    1882;   28.30; E0;
23/06/18;   18:39:47;       0.610; 280.327;   25.34;    1887;   28.30; E0;
23/06/18;   18:39:48;       0.627; 281.717;   25.29;    1880;   28.30; E0;
23/06/18;   18:39:49;       0.643; 279.014;   25.39;    1880;   28.30; E0;
23/06/18;   18:39:50;       0.660; 276.821;   25.47;    1880;   28.30; E0;
23/06/18;   18:39:51;       0.677; 277.094;   25.46;    1875;   28.30; E0;
23/06/18;   18:39:52;       0.694; 278.395;   25.41;    1887;   28.30; E0;
23/06/18;   18:39:53;       0.711; 280.952;   25.32;    1875;   28.30; E0;
23/06/18;   18:39:54;       0.728; 281.091;   25.31;    1874;   28.30; E0;
23/06/18;   18:39:55;       0.745; 279.497;   25.37;    1880;   28.30; E0;
23/06/18;   18:39:56;       0.762; 278.052;   25.42;    1880;   28.30; E0;
23/06/18;   18:39:57;       0.779; 278.258;   25.41;    1875;   28.30; E0;
23/06/18;   18:39:58;       0.796; 277.846;   25.43;    1880;   28.30; E0;
23/06/18;   18:40:00;       0.813; 279.290;   25.38;    1881;   28.30; E0;
23/06/18;   18:40:01;       0.830; 281.857;   25.29;    1882;   28.30; E0;
23/06/18;   18:40:02;       0.847; 283.467;   25.23;    1876;   28.30; E0;
23/06/18;   18:40:03;       0.864; 284.665;   25.19;    1894;   28.30; E0;
23/06/18;   18:40:04;       0.880; 283.046;   25.24;    2134;   28.30; E0;
23/06/18;   18:40:05;       0.897; 269.114;   25.76;   16477;   28.30; E0;
23/06/18;   18:40:05;       0.908; 255.843;   26.27;   21158;   28.30; E0;
23/06/18;   18:40:06;       0.925; 245.262;   26.75;   20572;   28.20; E0;
23/06/18;   18:40:07;       0.942; 234.801;   27.17;   20453;   28.30; E0;
23/06/18;   18:40:08;       0.959; 235.436;   27.18;   20371;   28.20; E0;
23/06/18;   18:40:09;       0.976; 235.158;   27.19;   20353;   28.20; E0;
23/06/18;   18:40:10;       0.993; 235.770;   27.16;   20298;   28.20; E0;
23/06/18;   18:40:11;       1.010; 235.938;   27.16;   20288;   28.20; E0;
23/06/18;   18:40:12;       1.027; 235.659;   27.17;   20262;   28.20; E0;
23/06/18;   18:40:13;       1.043; 235.659;   27.17;   20252;   28.20; E0;
23/06/18;   18:40:14;       1.060; 235.158;   27.19;   20238;   28.20; E0;
23/06/18;   18:40:15;       1.077; 235.158;   27.19;   20226;   28.20; E0;
23/06/18;   18:40:16;       1.094; 235.492;   27.18;   20226;   28.20; E0;
23/06/18;   18:40:17;       1.111; 235.213;   27.19;   20231;   28.20; E0;
23/06/18;   18:40:18;       1.128; 235.547;   27.18;   20227;   28.20; E0;
23/06/18;   18:40:19;       1.145; 235.715;   27.17;   20202;   28.20; E0;
23/06/18;   18:40:20;       1.162; 235.603;   27.17;   20238;   28.20; E0;
23/06/18;   18:40:21;       1.179; 235.882;   27.16;   20207;   28.20; E0;
23/06/18;   18:40:23;       1.196; 235.492;   27.18;   20200;   28.20; E0;
23/06/18;   18:40:24;       1.213; 235.603;   27.17;   20202;   28.20; E0;
23/06/18;   18:40:25;       1.230; 235.436;   27.18;   20187;   28.20; E0;
23/06/18;   18:40:26;       1.247; 235.380;   27.18;   20195;   28.20; E0;
23/06/18;   18:40:27;       1.264; 235.547;   27.18;   20199;   28.20; E0;
23/06/18;   18:40:28;       1.281; 235.102;   27.20;   20206;   28.20; E0;
23/06/18;   18:40:29;       1.298; 235.213;   27.19;   20180;   28.20; E0;
23/06/18;   18:40:30;       1.315; 234.880;   27.20;   20199;   28.20; E0;
23/06/18;   18:40:31;       1.332; 234.935;   27.20;   20182;   28.20; E0;
23/06/18;   18:40:32;       1.348; 235.269;   27.19;   20195;   28.20; E0;
23/06/18;   18:40:33;       1.365; 235.492;   27.18;   20188;   28.20; E0;
23/06/18;   18:40:34;       1.382; 235.770;   27.17;   20175;   28.20; E0;
23/06/18;   18:40:35;       1.399; 235.826;   27.16;   20195;   28.20; E0;
23/06/18;   18:40:36;       1.416; 235.938;   27.16;   20177;   28.20; E0;
23/06/18;   18:40:37;       1.433; 235.715;   27.17;   20193;   28.20; E0;
23/06/18;   18:40:38;       1.450; 235.715;   27.17;   20194;   28.20; E0;
23/06/18;   18:40:39;       1.467; 235.102;   27.19;   20191;   28.20; E0;
23/06/18;   18:40:40;       1.484; 234.880;   27.21;   20201;   28.20; E0;
23/06/18;   18:40:41;       1.501; 234.713;   27.21;   20193;   28.20; E0;
23/06/18;   18:40:42;       1.518; 234.436;   27.22;   20186;   28.20; E0;
