***** DESCRIPTION ***********;
[enter the description here];

***** INSTRUMENT INFO *******;
IDENTIFICATION;
PHIboard number   : v1215488;
PM number         : 20101830;
Serial number     : FB3-AOT-03-761      ;
MUX channel       : OFF - 00;
;
PARAMETERS;
Signal LED current: 050;
Ref LED current   : 080;
Ref LED amplitude : 66291;
Frequency         : 006;
Sending interval  : 0001;
Averaging         : 2;
Internal temp     : 25.7 C;
;
SYSTEM SETTINGS;
APL function      : ON;
Temp compensation : ON - ch a;
Analog out        : chA t chB t;
RS232 echo        : ON;
Oxygen unit       : %a.s.;
;
CALIBRATION;
Sensor type       : 2;
0%a.s.phase 1     : 59.69 at 028.3°C amp 060400;
100.00%a.s.phase 2: 26.80 at 028.1°C amp 025200;
Date   (ddmmyy)   : 230618;
Pressure (mBar)   : 1018;
;
FIRMWARE;
Code 3.016 (IAP)  : 08/20/04, 09:50:56;
Xilinx built      : 01/05/04 (MM/DD/YY);
Reset condition   : SLEEP;
 ;
 ;
 ;
 ;
 ;
 ;
 ;
 ;

***** SOFTWARE INFO *********;
OxyView - PST3-V6.02 10/2007;
© by PreSens GmbH;
23/06/18;
4:18:03 PM;

******MEASURE MODE SETTINGS**;
Dynamic Averaging;   4;
measure mode;  1 sec ;

start time; 4:18:03 PM; 
date(DD/MM/YY); time/hh:mm:ss; logtime/min; oxygen/umol/L; phase/°; amp; temp/°C; ErrorMessage;
23/06/18;   16:18:03;       0.000; 246.181;   26.89;    6452;   27.70; E0;
23/06/18;   16:18:04;       0.014; 246.768;   26.86;    6440;   27.70; E0;
23/06/18;   16:18:05;       0.031; 247.180;   26.85;    6484;   27.70; E0;
23/06/18;   16:18:06;       0.048; 247.239;   26.84;    6616;   27.70; E0;
23/06/18;   16:18:07;       0.065; 247.298;   26.84;    6906;   27.70; E0;
23/06/18;   16:18:08;       0.081; 246.651;   26.87;    7026;   27.70; E0;
23/06/18;   16:18:09;       0.098; 246.357;   26.88;    7033;   27.70; E0;
23/06/18;   16:18:10;       0.115; 245.830;   26.91;    7045;   27.70; E0;
23/06/18;   16:18:11;       0.132; 245.655;   26.91;    7032;   27.70; E0;
23/06/18;   16:18:12;       0.149; 245.830;   26.91;    7033;   27.70; E0;
23/06/18;   16:18:13;       0.166; 245.246;   26.93;    7045;   27.70; E0;
23/06/18;   16:18:14;       0.183; 245.713;   26.91;    7058;   27.70; E0;
23/06/18;   16:18:15;       0.200; 245.713;   26.91;    7051;   27.70; E0;
23/06/18;   16:18:16;       0.217; 246.357;   26.88;    7052;   27.70; E0;
23/06/18;   16:18:17;       0.234; 247.121;   26.85;    7071;   27.70; E0;
23/06/18;   16:18:18;       0.251; 246.886;   26.86;    7057;   27.70; E0;
23/06/18;   16:18:19;       0.267; 247.121;   26.85;    7058;   27.70; E0;
23/06/18;   16:18:20;       0.284; 246.064;   26.90;    7057;   27.70; E0;
23/06/18;   16:18:21;       0.301; 246.475;   26.88;    7059;   27.70; E0;
23/06/18;   16:18:22;       0.318; 246.886;   26.86;    7071;   27.70; E0;
23/06/18;   16:18:23;       0.335; 246.827;   26.86;    7077;   27.70; E0;
23/06/18;   16:18:24;       0.352; 247.298;   26.84;    7077;   27.70; E0;
23/06/18;   16:18:25;       0.369; 246.886;   26.86;    7065;   27.70; E0;
23/06/18;   16:18:26;       0.386; 246.651;   26.87;    7077;   27.70; E0;
23/06/18;   16:18:27;       0.403; 246.768;   26.87;    7071;   27.70; E0;
23/06/18;   16:18:28;       0.420; 246.592;   26.87;    7070;   27.70; E0;
23/06/18;   16:18:29;       0.437; 246.299;   26.88;    7077;   27.70; E0;
23/06/18;   16:18:30;       0.454; 246.886;   26.86;    7078;   27.70; E0;
23/06/18;   16:18:31;       0.471; 247.534;   26.83;    7078;   27.70; E0;
23/06/18;   16:18:33;       0.488; 247.534;   26.83;    7089;   27.70; E0;
23/06/18;   16:18:34;       0.504; 247.652;   26.83;    7077;   27.70; E0;
23/06/18;   16:18:35;       0.522; 247.357;   26.84;    7077;   27.70; E0;
23/06/18;   16:18:36;       0.539; 246.006;   26.90;    7083;   27.70; E0;
23/06/18;   16:18:37;       0.555; 246.851;   26.90;    7077;   27.60; E0;
23/06/18;   16:18:38;       0.572; 246.851;   26.90;    7096;   27.60; E0;
23/06/18;   16:18:39;       0.589; 247.971;   26.85;    7085;   27.60; E0;
23/06/18;   16:18:40;       0.606; 247.971;   26.85;    7089;   27.60; E0;
23/06/18;   16:18:41;       0.623; 247.971;   26.85;    7096;   27.60; E0;
23/06/18;   16:18:42;       0.640; 248.444;   26.83;    7090;   27.60; E0;
23/06/18;   16:18:43;       0.657; 247.557;   26.87;    7096;   27.60; E0;
23/06/18;   16:18:44;       0.674; 248.325;   26.84;    7083;   27.60; E0;
23/06/18;   16:18:45;       0.691; 248.562;   26.83;    7083;   27.60; E0;
23/06/18;   16:18:46;       0.708; 248.266;   26.84;    7096;   27.60; E0;
23/06/18;   16:18:47;       0.725; 247.498;   26.87;    7089;   27.60; E0;
23/06/18;   16:18:48;       0.742; 247.675;   26.86;    7090;   27.60; E0;
23/06/18;   16:18:49;       0.759; 247.616;   26.86;    7083;   27.60; E0;
23/06/18;   16:18:50;       0.776; 247.204;   26.88;    7096;   27.60; E0;
