***** DESCRIPTION ***********;
[enter the description here];

***** INSTRUMENT INFO *******;
IDENTIFICATION;
PHIboard number   : v1215488;
PM number         : 20101830;
Serial number     : FB3-AOT-03-761      ;
MUX channel       : OFF - 00;
;
PARAMETERS;
Signal LED current: 050;
Ref LED current   : 080;
Ref LED amplitude : 66661;
Frequency         : 006;
Sending interval  : 0001;
Averaging         : 2;
Internal temp     : 24.2 C;
;
SYSTEM SETTINGS;
APL function      : ON;
Temp compensation : ON - ch a;
Analog out        : chA t chB t;
RS232 echo        : ON;
Oxygen unit       : %a.s.;
;
CALIBRATION;
Sensor type       : 2;
0%a.s.phase 1     : 59.80 at 027.5°C amp 099300;
100.00%a.s.phase 2: 26.89 at 027.9°C amp 042300;
Date   (ddmmyy)   : 290618;
Pressure (mBar)   : 1018;
;
FIRMWARE;
Code 3.016 (IAP)  : 08/20/04, 09:50:56;
Xilinx built      : 01/05/04 (MM/DD/YY);
Reset condition   : SLEEP;
 ;
 ;
 ;
 ;
 ;
 ;
 ;
 ;

***** SOFTWARE INFO *********;
OxyView - PST3-V6.02 10/2007;
© by PreSens GmbH;
29/06/18;
7:06:17 PM;

******MEASURE MODE SETTINGS**;
Dynamic Averaging;   4;
measure mode;  1 sec ;

start time; 7:06:17 PM; 
date(DD/MM/YY); time/hh:mm:ss; logtime/min; oxygen/umol/L; phase/°; amp; temp/°C; ErrorMessage;
29/06/18;   19:06:17;       0.000; 234.355;   27.32;   44965;   28.10; E0;
29/06/18;   19:06:18;       0.017; 234.466;   27.31;   44960;   28.10; E0;
29/06/18;   19:06:19;       0.034; 234.687;   27.30;   44986;   28.10; E0;
29/06/18;   19:06:20;       0.051; 234.743;   27.30;   44985;   28.10; E0;
29/06/18;   19:06:21;       0.068; 234.964;   27.29;   44998;   28.10; E0;
29/06/18;   19:06:22;       0.085; 234.798;   27.30;   45003;   28.10; E0;
29/06/18;   19:06:23;       0.102; 234.687;   27.30;   44966;   28.10; E0;
29/06/18;   19:06:24;       0.118; 234.521;   27.31;   44954;   28.10; E0;
29/06/18;   19:06:25;       0.135; 234.521;   27.31;   44992;   28.10; E0;
29/06/18;   19:06:26;       0.152; 234.577;   27.31;   44991;   28.10; E0;
29/06/18;   19:06:27;       0.169; 234.853;   27.30;   44986;   28.10; E0;
29/06/18;   19:06:28;       0.186; 235.297;   27.28;   44980;   28.10; E0;
29/06/18;   19:06:29;       0.203; 235.353;   27.27;   44961;   28.10; E0;
29/06/18;   19:06:30;       0.220; 235.686;   27.26;   44948;   28.10; E0;
29/06/18;   19:06:31;       0.237; 235.464;   27.27;   44954;   28.10; E0;
29/06/18;   19:06:32;       0.254; 235.186;   27.28;   44935;   28.10; E0;
29/06/18;   19:06:33;       0.271; 235.186;   27.28;   44942;   28.10; E0;
29/06/18;   19:06:34;       0.288; 235.131;   27.28;   44923;   28.10; E0;
29/06/18;   19:06:35;       0.305; 235.131;   27.28;   44922;   28.10; E0;
29/06/18;   19:06:36;       0.322; 235.297;   27.28;   44923;   28.10; E0;
29/06/18;   19:06:37;       0.339; 235.186;   27.28;   44917;   28.10; E0;
29/06/18;   19:06:38;       0.355; 235.186;   27.28;   44911;   28.10; E0;
29/06/18;   19:06:39;       0.372; 235.297;   27.28;   44898;   28.10; E0;
