Date & time of file creation	18/06/2018 7:09 PM													
Data file path	C:\Users\ameli\Desktop\Luke Strasiotto\18062018\Old_18.txt													
														
														
CALIBRATION DATA														
Parameter/Channel	N moving average	LO phase [r.U.]	HI phase [r.U.]	LO oxygen [%air saturation]	HI oxygen [%air saturation]	LO temperature [°C]	HI temperature [°C]	Salinity [‰]						
S WOT 0041 000001   , CH 1	1	60.31	28.58	0.00	100.00	19.00	19.00	0.000						
S WOT 0041 000001   , CH 2	1	60.31	28.58	0.00	100.00	19.00	19.00	0.000						
S WOT 0041 000001   , CH 3	1	60.31	28.58	0.00	100.00	19.00	19.00	0.000						
S WOT 0041 000001   , CH 4	1	60.31	28.58	0.00	100.00	19.00	19.00	0.000						
														
														
Date &Time [DD-MM-YYYY HH:MM:SS]	Time stamp code	Barometric pressure [hPa]	S WOT 0041 000001   , CH 1 phase [r.U.]	S WOT 0041 000001   , CH 1 temp [°C]	S WOT 0041 000001   , CH 1 O2 [% air saturation]	S WOT 0041 000001   , CH 2 phase [r.U.]	S WOT 0041 000001   , CH 2 temp [°C]	S WOT 0041 000001   , CH 2 O2 [% air saturation]	S WOT 0041 000001   , CH 3 phase [r.U.]	S WOT 0041 000001   , CH 3 temp [°C]	S WOT 0041 000001   , CH 3 O2 [% air saturation]	S WOT 0041 000001   , CH 4 phase [r.U.]	S WOT 0041 000001   , CH 4 temp [°C]	S WOT 0041 000001   , CH 4 O2 [% air saturation]
18/06/2018 7:09:44 PM	3612157784	1013.00	28.38	18.93	102.0	28.52	18.93	100.7	28.31	18.93	102.6	28.28	18.93	102.9
18/06/2018 7:09:45 PM	3612157785	1013.00	28.39	18.93	101.9	28.46	18.93	101.2	28.30	18.93	102.7	28.26	18.93	103.1
18/06/2018 7:09:46 PM	3612157786	1013.00	28.39	18.93	101.9	28.47	18.93	101.1	28.31	18.93	102.6	28.30	18.93	102.7
18/06/2018 7:09:47 PM	3612157787	1013.00	28.39	18.94	101.9	28.48	18.94	101.0	28.32	18.94	102.5	28.32	18.94	102.5
18/06/2018 7:09:48 PM	3612157788	1013.00	28.40	18.93	101.8	28.52	18.93	100.7	28.32	18.93	102.5	28.29	18.93	102.8
18/06/2018 7:09:49 PM	3612157789	1013.00	28.40	18.93	101.8	28.48	18.93	101.1	28.31	18.93	102.6	28.28	18.93	102.9
18/06/2018 7:09:50 PM	3612157790	1013.00	28.40	18.93	101.8	28.47	18.93	101.1	28.31	18.93	102.6	28.28	18.93	102.9
18/06/2018 7:09:51 PM	3612157791	1013.00	28.40	18.94	101.8	28.45	18.94	101.3	28.29	18.94	102.8	28.30	18.94	102.7
18/06/2018 7:09:52 PM	3612157792	1013.00	28.39	18.93	101.9	28.48	18.93	101.1	28.30	18.93	102.7	28.30	18.93	102.7
18/06/2018 7:09:53 PM	3612157793	1013.00	28.38	18.93	102.0	28.52	18.93	100.7	28.33	18.93	102.5	28.29	18.93	102.8
18/06/2018 7:09:54 PM	3612157794	1013.00	28.40	18.94	101.8	28.50	18.94	100.8	28.31	18.94	102.6	28.29	18.94	102.8
18/06/2018 7:09:55 PM	3612157795	1013.00	28.38	18.94	102.0	28.49	18.94	100.9	28.29	18.94	102.8	28.29	18.94	102.8
18/06/2018 7:09:56 PM	3612157796	1013.00	28.37	18.94	102.1	28.47	18.94	101.1	28.29	18.94	102.8	28.26	18.94	103.1
18/06/2018 7:09:57 PM	3612157797	1013.00	28.40	18.94	101.8	28.45	18.94	101.3	28.28	18.94	102.9	28.29	18.94	102.8
18/06/2018 7:09:58 PM	3612157798	1013.00	28.37	18.94	102.1	28.48	18.94	101.0	28.29	18.94	102.8	28.28	18.94	102.9
18/06/2018 7:09:59 PM	3612157799	1013.00	28.40	18.94	101.8	28.47	18.94	101.1	28.28	18.94	102.9	28.27	18.94	103.0
18/06/2018 7:10:00 PM	3612157800	1013.00	28.42	18.94	101.6	28.50	18.94	100.8	28.31	18.94	102.6	28.27	18.94	103.0
18/06/2018 7:10:01 PM	3612157801	1013.00	28.41	18.93	101.7	28.45	18.93	101.3	28.31	18.93	102.6	28.30	18.93	102.7
18/06/2018 7:10:02 PM	3612157802	1013.00	28.39	18.93	101.9	28.46	18.93	101.2	28.27	18.93	103.0	28.30	18.93	102.7
18/06/2018 7:10:03 PM	3612157803	1013.00	28.39	18.93	101.9	28.45	18.93	101.3	28.31	18.93	102.6	28.28	18.93	102.9
18/06/2018 7:10:04 PM	3612157804	1013.00	28.38	18.93	102.0	28.48	18.93	101.1	28.33	18.93	102.5	28.27	18.93	103.0
18/06/2018 7:10:05 PM	3612157805	1013.00	28.39	18.93	101.9	28.48	18.93	101.1	28.33	18.93	102.5	28.30	18.93	102.7
