***** DESCRIPTION ***********;
[enter the description here];

***** INSTRUMENT INFO *******;
IDENTIFICATION;
PHIboard number   : v1215488;
PM number         : 20101830;
Serial number     : FB3-AOT-03-761      ;
MUX channel       : OFF - 00;
;
PARAMETERS;
Signal LED current: 050;
Ref LED current   : 080;
Ref LED amplitude : 66291;
Frequency         : 006;
Sending interval  : 0001;
Averaging         : 2;
Internal temp     : 25.7 C;
;
SYSTEM SETTINGS;
APL function      : ON;
Temp compensation : ON - ch a;
Analog out        : chA t chB t;
RS232 echo        : ON;
Oxygen unit       : %a.s.;
;
CALIBRATION;
Sensor type       : 2;
0%a.s.phase 1     : 59.69 at 028.3°C amp 060400;
100.00%a.s.phase 2: 26.80 at 028.1°C amp 025200;
Date   (ddmmyy)   : 230618;
Pressure (mBar)   : 1018;
;
FIRMWARE;
Code 3.016 (IAP)  : 08/20/04, 09:50:56;
Xilinx built      : 01/05/04 (MM/DD/YY);
Reset condition   : SLEEP;
 ;
 ;
 ;
 ;
 ;
 ;
 ;
 ;

***** SOFTWARE INFO *********;
OxyView - PST3-V6.02 10/2007;
© by PreSens GmbH;
23/06/18;
4:10:32 PM;

******MEASURE MODE SETTINGS**;
Dynamic Averaging;   4;
measure mode;  1 sec ;

start time; 4:10:32 PM; 
date(DD/MM/YY); time/hh:mm:ss; logtime/min; oxygen/umol/L; phase/°; amp; temp/°C; ErrorMessage;
23/06/18;   16:10:32;       0.000; 252.796;   26.47;    6733;   28.10; E0;
23/06/18;   16:10:33;       0.017; 252.432;   26.48;    6732;   28.10; E0;
23/06/18;   16:10:34;       0.034; 251.947;   26.50;    6726;   28.10; E0;
23/06/18;   16:10:35;       0.051; 251.887;   26.51;    6739;   28.10; E0;
23/06/18;   16:10:36;       0.068; 251.705;   26.52;    6733;   28.10; E0;
23/06/18;   16:10:37;       0.085; 252.129;   26.50;    6733;   28.10; E0;
23/06/18;   16:10:39;       0.102; 252.432;   26.48;    6739;   28.10; E0;
23/06/18;   16:10:40;       0.118; 252.614;   26.48;    6733;   28.10; E0;
23/06/18;   16:10:41;       0.135; 252.614;   26.48;    6739;   28.10; E0;
23/06/18;   16:10:42;       0.152; 251.584;   26.52;    6738;   28.10; E0;
23/06/18;   16:10:43;       0.169; 251.584;   26.52;    6733;   28.10; E0;
23/06/18;   16:10:44;       0.186; 251.162;   26.54;    6751;   28.10; E0;
23/06/18;   16:10:45;       0.203; 250.981;   26.54;    6732;   28.10; E0;
23/06/18;   16:10:46;       0.220; 251.887;   26.51;    6740;   28.10; E0;
23/06/18;   16:10:47;       0.237; 251.343;   26.53;    6738;   28.10; E0;
23/06/18;   16:10:48;       0.254; 251.041;   26.54;    6738;   28.10; E0;
23/06/18;   16:10:49;       0.271; 250.800;   26.55;    6738;   28.10; E0;
23/06/18;   16:10:50;       0.288; 250.680;   26.56;    6758;   28.10; E0;
23/06/18;   16:10:51;       0.305; 250.680;   26.56;    6751;   28.10; E0;
23/06/18;   16:10:52;       0.322; 250.800;   26.55;    6751;   28.10; E0;
23/06/18;   16:10:53;       0.339; 250.740;   26.55;    6751;   28.10; E0;
