Date & time of file creation	16/06/2018 7:19 PM													
Data file path	C:\Users\ameli\Desktop\Luke Strasiotto\160618\Old_12.txt													
														
														
CALIBRATION DATA														
Parameter/Channel	N moving average	LO phase [r.U.]	HI phase [r.U.]	LO oxygen [%air saturation]	HI oxygen [%air saturation]	LO temperature [°C]	HI temperature [°C]	Salinity [‰]						
S WOT 0041 000001   , CH 1	1	59.31	27.39	0.00	100.00	28.02	28.10	0.000						
S WOT 0041 000001   , CH 2	1	59.31	27.39	0.00	100.00	28.02	28.10	0.000						
S WOT 0041 000001   , CH 3	1	59.31	27.39	0.00	100.00	28.02	28.10	0.000						
S WOT 0041 000001   , CH 4	1	59.31	27.39	0.00	100.00	28.02	28.10	0.000						
														
														
Date &Time [DD-MM-YYYY HH:MM:SS]	Time stamp code	Barometric pressure [hPa]	S WOT 0041 000001   , CH 1 phase [r.U.]	S WOT 0041 000001   , CH 1 temp [°C]	S WOT 0041 000001   , CH 1 O2 [% air saturation]	S WOT 0041 000001   , CH 2 phase [r.U.]	S WOT 0041 000001   , CH 2 temp [°C]	S WOT 0041 000001   , CH 2 O2 [% air saturation]	S WOT 0041 000001   , CH 3 phase [r.U.]	S WOT 0041 000001   , CH 3 temp [°C]	S WOT 0041 000001   , CH 3 O2 [% air saturation]	S WOT 0041 000001   , CH 4 phase [r.U.]	S WOT 0041 000001   , CH 4 temp [°C]	S WOT 0041 000001   , CH 4 O2 [% air saturation]
16/06/2018 7:20:50 PM	3611985650	1013.00	27.42	27.95	100.0	27.10	27.95	103.1	27.37	27.95	100.5	27.13	27.95	102.8
16/06/2018 7:20:51 PM	3611985651	1013.00	27.42	27.95	100.0	27.10	27.95	103.1	27.37	27.95	100.5	27.11	27.95	103.0
16/06/2018 7:20:52 PM	3611985652	1013.00	27.43	27.96	99.9	27.05	27.96	103.5	27.35	27.96	100.6	27.12	27.96	102.8
16/06/2018 7:20:53 PM	3611985653	1013.00	27.43	27.96	99.9	27.09	27.96	103.1	27.39	27.96	100.2	27.10	27.96	103.0
16/06/2018 7:20:54 PM	3611985654	1013.00	27.42	27.96	100.0	27.10	27.96	103.0	27.38	27.96	100.3	27.10	27.96	103.0
16/06/2018 7:20:55 PM	3611985655	1013.00	27.44	27.97	99.8	27.12	27.97	102.8	27.37	27.97	100.4	27.13	27.97	102.7
16/06/2018 7:20:56 PM	3611985656	1013.00	27.44	27.97	99.8	27.08	27.97	103.2	27.37	27.97	100.4	27.13	27.97	102.7
16/06/2018 7:20:57 PM	3611985657	1013.00	27.42	27.97	99.9	27.11	27.97	102.9	27.35	27.97	100.6	27.16	27.97	102.4
16/06/2018 7:20:58 PM	3611985658	1013.00	27.44	27.96	99.8	27.10	27.96	103.0	27.36	27.96	100.5	27.12	27.96	102.8
16/06/2018 7:20:59 PM	3611985659	1013.00	27.45	27.96	99.7	27.05	27.96	103.5	27.38	27.96	100.3	27.15	27.96	102.5
16/06/2018 7:21:00 PM	3611985660	1013.00	27.43	27.95	99.9	27.07	27.95	103.3	27.39	27.95	100.3	27.13	27.95	102.8
16/06/2018 7:21:01 PM	3611985661	1013.00	27.45	27.95	99.7	27.08	27.95	103.2	27.38	27.95	100.4	27.11	27.95	103.0
16/06/2018 7:21:02 PM	3611985662	1013.00	27.40	27.95	100.2	27.04	27.95	103.6	27.33	27.95	100.8	27.10	27.95	103.1
16/06/2018 7:21:03 PM	3611985663	1013.00	27.44	27.96	99.8	27.08	27.96	103.2	27.36	27.96	100.5	27.11	27.96	102.9
16/06/2018 7:21:04 PM	3611985664	1013.00	27.40	27.95	100.2	27.03	27.95	103.7	27.39	27.95	100.3	27.10	27.95	103.1
16/06/2018 7:21:05 PM	3611985665	1013.00	27.45	27.95	99.7	27.05	27.95	103.5	27.36	27.95	100.6	27.13	27.95	102.8
16/06/2018 7:21:06 PM	3611985666	1013.00	27.43	27.95	99.9	27.05	27.95	103.5	27.39	27.95	100.3	27.11	27.95	103.0
16/06/2018 7:21:07 PM	3611985667	1013.00	27.41	27.95	100.1	27.05	27.95	103.5	27.35	27.95	100.6	27.12	27.95	102.9
16/06/2018 7:21:08 PM	3611985668	1013.00	27.46	27.95	99.6	27.04	27.95	103.6	27.37	27.95	100.5	27.12	27.95	102.9
16/06/2018 7:21:09 PM	3611985669	1013.00	27.43	27.95	99.9	27.03	27.95	103.7	27.36	27.95	100.6	27.11	27.95	103.0
16/06/2018 7:21:10 PM	3611985670	1013.00	27.42	27.95	100.0	27.04	27.95	103.6	27.33	27.95	100.8	27.11	27.95	103.0
16/06/2018 7:21:11 PM	3611985671	1013.00	27.46	27.96	99.6	27.05	27.96	103.5	27.35	27.96	100.6	27.12	27.96	102.8
16/06/2018 7:21:12 PM	3611985672	1013.00	27.44	27.95	99.8	27.10	27.95	103.1	27.36	27.95	100.6	27.13	27.95	102.8
