Date & time of file creation	10/06/2018 10:49 PM													
Data file path	C:\Users\ameli\Desktop\Luke Strasiotto\10062018\New_7_2.txt													
														
														
CALIBRATION DATA														
Parameter/Channel	N moving average	LO phase [r.U.]	HI phase [r.U.]	LO oxygen [%air saturation]	HI oxygen [%air saturation]	LO temperature [°C]	HI temperature [°C]	Salinity [‰]						
SDWD0003000199      , CH 1	1	60.06	28.45	0.00	100.00	18.60	18.60	0.000						
SDWD0003000199      , CH 2	1	60.06	28.45	0.00	100.00	18.60	18.60	0.000						
SDWD0003000199      , CH 3	1	60.06	28.45	0.00	100.00	18.60	18.60	0.000						
SDWD0003000199      , CH 4	1	60.06	28.45	0.00	100.00	18.60	18.60	0.000						
														
														
Date &Time [DD-MM-YYYY HH:MM:SS]	Time stamp code	Barometric pressure [hPa]	SDWD0003000199      , CH 1 phase [r.U.]	SDWD0003000199      , CH 1 temp [°C]	SDWD0003000199      , CH 1 O2 [% air saturation]	SDWD0003000199      , CH 2 phase [r.U.]	SDWD0003000199      , CH 2 temp [°C]	SDWD0003000199      , CH 2 O2 [% air saturation]	SDWD0003000199      , CH 3 phase [r.U.]	SDWD0003000199      , CH 3 temp [°C]	SDWD0003000199      , CH 3 O2 [% air saturation]	SDWD0003000199      , CH 4 phase [r.U.]	SDWD0003000199      , CH 4 temp [°C]	SDWD0003000199      , CH 4 O2 [% air saturation]
10/06/2018 10:49:14 PM	3611479754	1013.00	NaN	18.51	NaN	29.18	18.51	93.7	28.59	18.51	98.9	NaN	18.51	NaN
10/06/2018 10:49:15 PM	3611479755	1013.00	NaN	18.52	NaN	29.20	18.52	93.5	28.61	18.52	98.7	NaN	18.52	NaN
10/06/2018 10:49:16 PM	3611479756	1013.00	NaN	18.52	NaN	29.21	18.52	93.4	28.65	18.52	98.3	NaN	18.52	NaN
10/06/2018 10:49:17 PM	3611479757	1013.00	NaN	18.52	NaN	29.22	18.52	93.3	28.65	18.52	98.3	NaN	18.52	NaN
10/06/2018 10:49:18 PM	3611479758	1013.00	NaN	18.52	NaN	29.21	18.52	93.4	28.62	18.52	98.6	NaN	18.52	NaN
10/06/2018 10:49:19 PM	3611479759	1013.00	NaN	18.52	NaN	29.20	18.52	93.5	28.65	18.52	98.3	NaN	18.52	NaN
10/06/2018 10:49:20 PM	3611479760	1013.00	NaN	18.52	NaN	29.21	18.52	93.4	28.59	18.52	98.9	NaN	18.52	NaN
10/06/2018 10:49:21 PM	3611479761	1013.00	NaN	18.52	NaN	29.21	18.52	93.4	28.63	18.52	98.5	NaN	18.52	NaN
10/06/2018 10:49:22 PM	3611479762	1013.00	NaN	18.53	NaN	29.24	18.53	93.2	28.61	18.53	98.7	NaN	18.53	NaN
10/06/2018 10:49:23 PM	3611479763	1013.00	NaN	18.53	NaN	29.25	18.53	93.1	28.62	18.53	98.6	NaN	18.53	NaN
10/06/2018 10:49:24 PM	3611479764	1013.00	NaN	18.53	NaN	29.22	18.53	93.3	28.63	18.53	98.5	NaN	18.53	NaN
10/06/2018 10:49:25 PM	3611479765	1013.00	NaN	18.53	NaN	29.24	18.53	93.2	28.62	18.53	98.6	NaN	18.53	NaN
10/06/2018 10:49:26 PM	3611479766	1013.00	NaN	18.53	NaN	29.24	18.53	93.2	28.63	18.53	98.5	NaN	18.53	NaN
10/06/2018 10:49:27 PM	3611479767	1013.00	NaN	18.53	NaN	29.21	18.53	93.4	28.67	18.53	98.1	NaN	18.53	NaN
